mean,var
1,0
1,0
1.2,1.581139
1.4,1.549193
1.88,2.132291
2.12,2.244994
2.62,2.22991
3.4,2.708013
3.52,3.007989
4.44,3.223775
6.08,4.506292
7.18,5.528806
8.6,5.794086
11.78,5.730503
13.46,7.89153
16.36,10.242702
18.26,9.017329
23.18,11.963497
27.4,14.923136
36.3,16.813402
43.6,22.150313
