"","x"
"102",151.110631963143
"103",156.252544567307
"104",161.565478191587
"105",167.055369298349
"106",172.728374915035
"107",178.590881458976
"108",184.649513942289
"109",190.911145574408
"110",197.38290778072
"111",204.072200656639
"112",210.986703877478
"113",218.134388085428
"114",225.523526776076
"115",233.162708707986
"116",241.06085086008
"117",249.227211962772
"118",257.671406630179
"119",266.403420122053
"120",275.433623765618
"121",284.772791068973
"122",294.432114559407
"123",304.423223381644
"124",314.758201692887
"125",325.449607893416
"126",336.510494733542
"127",347.95443033979
"128",359.795520205543
"129",372.048430193626
"130",384.728410600927
"131",397.851321337718
"132",411.433658277209
"133",425.492580833787
"134",440.045940831515
"135",455.112312727791
"136",470.711025260571
"137",486.862194591211
"138",503.58675901894
"139",520.906515347088
"140",538.844156985569
"141",557.423313878739
"142",576.668594352689
"143",596.605628981154
"144",617.261116574785
"145",638.662872404288
"146",660.839878774138
"147",683.822338070067
"148",707.641728410498
"149",732.330862039348
"150",757.923946605492
"151",784.456649482339
"152",811.966165289772
"153",840.491286789923
"154",870.072479338165
"155",900.751959081059
"156",932.573775104122
"157",965.583895744075
"158",999.830299292653
"159",1035.36306933237
"160",1072.23449495873
"161",1110.49917615833
"162",1150.2141346283
"163",1191.4389303392
"164",1234.23578416192
"165",1278.66970689778
"166",1324.80863507177
"167",1372.72357387027
"168",1422.48874762773
"169",1474.18175829148
"170",1527.88375231955
"171",1583.67959649472
"172",1641.65806316724
"173",1701.91202547033
"174",1764.53866308656
"175",1829.63967917833
"176",1897.32152913486
"177",1967.69566182803
"178",2040.87877411349
"179",2116.99307935959
"180",2196.16659083637
"181",2278.5334208497
"182",2364.23409656213
"183",2453.41589350229
"184",2546.23318782938
"185",2642.8478284878
"186",2743.42953046087
"187",2848.15629041125
"188",2957.21482607981
"189",3070.80104090483
"190",3189.12051541968
"191",3312.38902709054
"192",3440.83310036575
"193",3574.69058882712
"194",3714.21129145988
"195",3859.65760519388
"196",4011.30521601426
"197",4169.44383109534
"198",4334.3779545797
"199",4506.42770980287
"200",4685.92971095742
"201",4873.23798739665
"202",5068.7249640001
"203",5272.78250126137
"204",5485.82299901518
"205",5708.28056799547
"206",5940.61227371247
"207",6183.29945745446
"208",6436.84913956292
"209",6701.79551049679
"210",6978.7015155991
"211",7268.16053990517
"212",7570.79819979117
"213",7887.27424875732
"214",8218.28460517321
"215",8564.56351038796
"216",8926.88582622816
"217",9306.06948157617
"218",9702.97807844277
"219",10118.5236687277
"220",10553.669713704
"221",11009.4342391709
"222",11486.8932002017
"223",11987.1840704769
"224",12511.5096723404
"225",13061.1422649575
"226",13637.4279093022
"227",14241.7911301506
"228",14875.7398968387
"229",15540.8709462475
"230",16238.8754733278
"231",16971.5452164868
"232",17740.7789673292
"233",18548.5895366104
"234",19397.1112108165
"235",20288.6077365733
"236",21225.4808731016
"237",22210.2795562237
"238",23245.7097209939
"239",24334.6448339048
"240",25480.1371898487
"241",26685.4300336053
"242",27953.970570631
"243",29289.4239373826
"244",30695.6882073384
"245",32176.9105153677
"246",33737.5043901528
"247",35382.1683920866
"248",37115.9061624697
"249",38944.0479990356
"250",40872.2740828604
"251",42906.6394926932
"252",45053.6011547498
"253",47320.0468891341
"254",49713.3267284364
"255",52241.2866997918
"256",54912.305278927
"257",57735.3327436397
