N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
6.250000,15.625000,25.000000,24.218750,27.734375,24.218750,25.683594,30.859375,32.617188,30.102539,30.853271,28.436279,29.835510,31.223297,32.545853,32.856750
6.250000,25.000000,20.312500,22.656250,16.015625,29.101562,26.562500,27.441406,28.637695,28.320312,30.908203,31.790161,27.844238,31.941986,32.895660,31.284332
6.250000,3.125000,25.000000,22.656250,21.093750,26.757812,26.269531,22.314453,28.710938,27.893066,29.974365,28.967285,31.021118,29.340363,32.997894,33.908653
6.250000,25.000000,21.875000,21.093750,19.921875,25.390625,24.121094,26.611328,29.785156,29.162598,31.781006,29.901123,31.668091,30.839539,33.098221,33.071709
0.000000,21.875000,17.187500,22.656250,23.828125,21.093750,25.683594,24.902344,26.416016,27.917480,31.634521,32.223511,30.714417,31.930542,31.492233,31.164742
6.250000,21.875000,28.125000,19.531250,26.171875,27.148438,24.121094,31.103516,27.197266,29.541016,28.161621,30.828857,31.518555,31.838989,32.765198,31.684113
6.250000,28.125000,15.625000,18.750000,25.000000,26.757812,22.460938,23.632812,28.784180,29.345703,29.089355,29.376221,30.158997,32.371521,31.484604,32.385063
0.000000,6.250000,25.000000,21.875000,22.265625,25.390625,24.023438,29.931641,29.101562,30.065918,28.332520,30.715942,30.288696,32.634735,33.112717,31.447792
6.250000,15.625000,20.312500,28.906250,26.171875,26.953125,25.390625,27.392578,27.099609,30.285645,30.426025,29.986572,30.400085,30.837250,32.559204,30.717087
12.500000,15.625000,20.312500,23.437500,30.078125,23.632812,31.445312,29.492188,25.122070,27.185059,31.597900,29.916382,31.759644,31.184387,33.319855,33.905602
6.250000,28.125000,20.312500,22.656250,19.531250,25.781250,25.781250,26.318359,31.909180,26.806641,31.158447,30.575562,30.522156,30.478668,30.619431,31.578827
6.250000,28.125000,21.875000,21.875000,19.921875,26.562500,27.343750,27.001953,27.416992,28.283691,31.213379,28.726196,31.880188,32.074738,32.187653,31.475830
12.500000,18.750000,21.875000,25.000000,23.046875,27.148438,25.000000,27.636719,27.124023,30.175781,28.479004,31.430054,31.843567,32.360840,30.438232,32.876587
6.250000,15.625000,20.312500,21.875000,29.687500,22.656250,26.464844,28.662109,29.614258,30.932617,28.015137,29.577637,31.950378,30.917358,33.138657,32.378960
18.750000,21.875000,26.562500,21.093750,25.000000,21.484375,23.437500,25.634766,27.954102,28.125000,28.454590,30.410767,30.636597,31.747437,33.077621,31.721878
6.250000,9.375000,28.125000,21.875000,21.484375,24.023438,26.953125,30.664062,28.247070,30.395508,31.835938,30.889893,31.617737,29.380035,31.553650,32.183647
18.750000,15.625000,21.875000,15.625000,22.656250,18.750000,23.535156,31.005859,29.760742,31.335449,28.454590,32.781982,29.808044,30.963898,32.200241,32.338715
