N18
83412.000000
91302.000000
86008.000000
89400.000000
90804.000000
89658.000000
89076.000000
89100.000000
88202.000000
87644.000000
91100.000000
89270.000000
88112.000000
90818.000000
86944.000000
83338.000000
89604.000000
87990.000000
91592.000000
88406.000000
92808.000000
90858.000000
87408.000000
92394.000000
91440.000000
88240.000000
87460.000000
92410.000000
88170.000000
88202.000000
89714.000000
91916.000000
92740.000000
89274.000000
89064.000000
88908.000000
90850.000000
90736.000000
86400.000000
93334.000000
93798.000000
92580.000000
93412.000000
87534.000000
89738.000000
87982.000000
84916.000000
88220.000000
86962.000000
90478.000000
92102.000000
89534.000000
89354.000000
90722.000000
84394.000000
89830.000000
92854.000000
86880.000000
88810.000000
87692.000000
86006.000000
92042.000000
88412.000000
88498.000000
89690.000000
87950.000000
88846.000000
87490.000000
88930.000000
86432.000000
92510.000000
82754.000000
89698.000000
90832.000000
85522.000000
90052.000000
89912.000000
84634.000000
90990.000000
93888.000000
90968.000000
90722.000000
85790.000000
91738.000000
90650.000000
92622.000000
88194.000000
91702.000000
92286.000000
90392.000000
88398.000000
89268.000000
84906.000000
88666.000000
88160.000000
87440.000000
91508.000000
91698.000000
85906.000000
86132.000000
89778.000000
91018.000000
94058.000000
92068.000000
85520.000000
91392.000000
87372.000000
90264.000000
84812.000000
90420.000000
88366.000000
90550.000000
91002.000000
89348.000000
91746.000000
90306.000000
90496.000000
88562.000000
91052.000000
91068.000000
88168.000000
85984.000000
87370.000000
90700.000000
88378.000000
88492.000000
88990.000000
91470.000000
86278.000000
90880.000000
88286.000000
90564.000000
86998.000000
87830.000000
91734.000000
90386.000000
92514.000000
90818.000000
88214.000000
88744.000000
92104.000000
88194.000000
87972.000000
83248.000000
87184.000000
91186.000000
89856.000000
88510.000000
86066.000000
93854.000000
86012.000000
93042.000000
96236.000000
89906.000000
89994.000000
93758.000000
92064.000000
88394.000000
92076.000000
89306.000000
92720.000000
91592.000000
89624.000000
92066.000000
89322.000000
92506.000000
91498.000000
92064.000000
89324.000000
86792.000000
91212.000000
91744.000000
87634.000000
91184.000000
89242.000000
92768.000000
89310.000000
94180.000000
89748.000000
88628.000000
88618.000000
90082.000000
90192.000000
87356.000000
91054.000000
92168.000000
91978.000000
91328.000000
87840.000000
85350.000000
87102.000000
90240.000000
85130.000000
90372.000000
91524.000000
87020.000000
93598.000000
89948.000000
89436.000000
88486.000000
