N18,N19,N20,N21,N22,N23
41903.000000,84854.000000,168652.000000,333770.000000,670074.000000,1341327.000000
41731.000000,84370.000000,163394.000000,337410.000000,678522.000000,1342927.000000
42108.000000,82414.000000,164385.000000,333034.000000,672739.000000,1351546.000000
41690.000000,83862.000000,168826.000000,336648.000000,652538.000000,1345452.000000
41266.000000,82708.000000,168354.000000,339862.000000,674123.000000,1342982.000000
41074.000000,84612.000000,166054.000000,330362.000000,666738.000000,1338380.000000
41402.000000,82104.000000,166534.000000,334254.000000,674258.000000,1335144.000000
41390.000000,82938.000000,167946.000000,334758.000000,670758.000000,1328322.000000
42740.000000,80389.000000,166572.000000,330028.000000,673406.000000,1338236.000000
41904.000000,85253.000000,169906.000000,332098.000000,673076.000000,1307526.000000
41420.000000,84029.000000,166236.000000,332654.000000,662248.000000,1344250.000000
41401.000000,83706.000000,165524.000000,333500.000000,668628.000000,1352822.000000
41422.000000,82808.000000,165172.000000,326760.000000,666218.000000,1329324.000000
41404.000000,84526.000000,168672.000000,334982.000000,672949.000000,1319710.000000
40828.000000,84066.000000,168120.000000,332962.000000,669944.000000,1321078.000000
41660.000000,85032.000000,170006.000000,336780.000000,665574.000000,1313332.000000
42018.000000,83562.000000,167115.000000,338103.000000,664369.000000,1328182.000000
40890.000000,84046.000000,168128.000000,336744.000000,673746.000000,1333168.000000
42420.000000,84338.000000,162438.000000,332428.000000,671704.000000,1321883.000000
41821.000000,83214.000000,166522.000000,331541.000000,672158.000000,1335112.000000
41240.000000,84094.000000,166542.000000,334853.000000,662648.000000,1333628.000000
41210.000000,81992.000000,169982.000000,334288.000000,679030.000000,1355814.000000
42654.000000,81992.000000,166974.000000,333322.000000,665968.000000,1340994.000000
41961.000000,84972.000000,168546.000000,335560.000000,665936.000000,1327596.000000
41252.000000,84324.000000,164714.000000,332732.000000,671622.000000,1337052.000000
41070.000000,83818.000000,165486.000000,335210.000000,665742.000000,1341726.000000
42244.000000,84424.000000,166828.000000,330716.000000,666148.000000,1331954.000000
40772.000000,84096.000000,168904.000000,330816.000000,676960.000000,1332470.000000
40428.000000,84180.000000,168048.000000,326336.000000,670042.000000,1338174.000000
41268.000000,85054.000000,168213.000000,332200.000000,670024.000000,1337620.000000
42212.000000,84054.000000,167754.000000,329366.000000,666677.000000,1338794.000000
41348.000000,83598.000000,167853.000000,333649.000000,663375.000000,1353632.000000
41848.000000,84590.000000,167774.000000,334700.000000,667280.000000,1320546.000000
41970.000000,85328.000000,167326.000000,335702.000000,668480.000000,1347208.000000
41642.000000,82444.000000,169774.000000,336720.000000,674406.000000,1341108.000000
41840.000000,83548.000000,168608.000000,333740.000000,669742.000000,1317372.000000
42062.000000,83328.000000,166748.000000,328864.000000,665272.000000,1326428.000000
40996.000000,83724.000000,166752.000000,336382.000000,666210.000000,1332688.000000
