N18,N19,N20,N21,N22,N23
84418.000000,177074.000000,360800.000000,697000.000000,1483444.000000,2914016.000000
80736.000000,167798.000000,340304.000000,725644.000000,1479934.000000,3002236.000000
84230.000000,166176.000000,343338.000000,718032.000000,1446370.000000,2905100.000000
79198.000000,174592.000000,344566.000000,676756.000000,1446820.000000,2829180.000000
79024.000000,170870.000000,347816.000000,743462.000000,1449664.000000,2894008.000000
85902.000000,164460.000000,343270.000000,725194.000000,1414734.000000,2939694.000000
83338.000000,170524.000000,332836.000000,714700.000000,1476482.000000,2986186.000000
84296.000000,170704.000000,359792.000000,704270.000000,1470584.000000,2922168.000000
81374.000000,173092.000000,346032.000000,711844.000000,1487600.000000,3004124.000000
81792.000000,171070.000000,330766.000000,699784.000000,1422110.000000,2977190.000000
86528.000000,167588.000000,330662.000000,714090.000000,1449492.000000,2996978.000000
82774.000000,169286.000000,356820.000000,736746.000000,1425174.000000,2996146.000000
82450.000000,176836.000000,356494.000000,719536.000000,1429472.000000,2958778.000000
82064.000000,174280.000000,357804.000000,728502.000000,1434152.000000,2947856.000000
83740.000000,171630.000000,347044.000000,698050.000000,1398422.000000,2903168.000000
74478.000000,178368.000000,336570.000000,703952.000000,1418490.000000,3019766.000000
82950.000000,168550.000000,330722.000000,720538.000000,1396028.000000,2986368.000000
82560.000000,167178.000000,346014.000000,699716.000000,1414130.000000,2918660.000000
82564.000000,170300.000000,350314.000000,736164.000000,1436828.000000,3069482.000000
85364.000000,165678.000000,362908.000000,699936.000000,1485376.000000,3011128.000000
85168.000000,173082.000000,340310.000000,704752.000000,1459978.000000,2992940.000000
82136.000000,159530.000000,339996.000000,713070.000000,1466640.000000,2961986.000000
84172.000000,169136.000000,354194.000000,732846.000000,1444836.000000,2965642.000000
83828.000000,158382.000000,353036.000000,717756.000000,1444448.000000,2933958.000000
80264.000000,174104.000000,357926.000000,712694.000000,1502352.000000,3008356.000000
85874.000000,174266.000000,344402.000000,739456.000000,1453956.000000,2905874.000000
81136.000000,163364.000000,339042.000000,715948.000000,1426238.000000,3016182.000000
80144.000000,175934.000000,346774.000000,739330.000000,1430170.000000,2916344.000000
74786.000000,170006.000000,351150.000000,710820.000000,1471558.000000,2984344.000000
85268.000000,169112.000000,359940.000000,704664.000000,1482326.000000,3049246.000000
87116.000000,164512.000000,315054.000000,717690.000000,1429406.000000,3094060.000000
80182.000000,162780.000000,351512.000000,717418.000000,1386020.000000,2935050.000000
83174.000000,168952.000000,327234.000000,728936.000000,1439910.000000,2968754.000000
81512.000000,171160.000000,343560.000000,732596.000000,1497066.000000,2949828.000000
84094.000000,168920.000000,326574.000000,717014.000000,1469872.000000,2845686.000000
83726.000000,173324.000000,339416.000000,724280.000000,1414034.000000,2940164.000000
83890.000000,172124.000000,323386.000000,713962.000000,1453738.000000,2963782.000000
84808.000000,172472.000000,366410.000000,692314.000000,1424680.000000,2964902.000000
83708.000000,168218.000000,354410.000000,713208.000000,1403404.000000,2918144.000000
80948.000000,170768.000000,352650.000000,686136.000000,1446690.000000,2858772.000000
75728.000000,171386.000000,347658.000000,730768.000000,1482142.000000,3016304.000000
83532.000000,167642.000000,351200.000000,682430.000000,1447948.000000,3007266.000000
82582.000000,159802.000000,366292.000000,696016.000000,1460924.000000,2995022.000000
81778.000000,168950.000000,346444.000000,750542.000000,1409900.000000,2925498.000000
79890.000000,168128.000000,355744.000000,688490.000000,1414140.000000,2973254.000000
82060.000000,168606.000000,347736.000000,690248.000000,1421780.000000,2897698.000000
80540.000000,162942.000000,359376.000000,704980.000000,1501720.000000,2956612.000000
82566.000000,169386.000000,356648.000000,723722.000000,1383560.000000,2937124.000000
76514.000000,168918.000000,352156.000000,704372.000000,1439104.000000,2960732.000000
84854.000000,168162.000000,355020.000000,688648.000000,1457816.000000,2931788.000000
81258.000000,170126.000000,323668.000000,728228.000000,1449344.000000,2947150.000000
84182.000000,159824.000000,336842.000000,703642.000000,1447478.000000,3000730.000000
82742.000000,174026.000000,354340.000000,726738.000000,1410680.000000,2832200.000000
86946.000000,177028.000000,330380.000000,690914.000000,1466560.000000,2964082.000000
81902.000000,164384.000000,346208.000000,741776.000000,1462856.000000,2928230.000000
79534.000000,179676.000000,337460.000000,700540.000000,1455316.000000,2995830.000000
81198.000000,170902.000000,347342.000000,706028.000000,1462720.000000,2986238.000000
81112.000000,163970.000000,356976.000000,731358.000000,1378016.000000,2967434.000000
