N18,N19,N20,N21,N22,N23
68036.000000,143062.000000,318336.000000,678372.000000,1329218.000000,2750598.000000
74570.000000,148146.000000,323734.000000,680396.000000,1322098.000000,2695828.000000
74454.000000,147958.000000,327468.000000,643896.000000,1357870.000000,2765168.000000
84088.000000,154130.000000,311708.000000,642136.000000,1416106.000000,2791278.000000
73196.000000,150368.000000,327948.000000,666942.000000,1366518.000000,2638348.000000
75946.000000,158012.000000,328952.000000,668544.000000,1353554.000000,2630768.000000
70896.000000,155726.000000,311026.000000,678448.000000,1346866.000000,2668266.000000
75616.000000,148896.000000,327194.000000,671514.000000,1328090.000000,2755204.000000
77098.000000,160488.000000,307808.000000,619018.000000,1347224.000000,2649138.000000
72756.000000,157840.000000,304696.000000,656812.000000,1426046.000000,2719562.000000
73526.000000,158328.000000,338202.000000,676198.000000,1311138.000000,2747308.000000
76046.000000,147302.000000,316460.000000,700244.000000,1426228.000000,2789588.000000
76092.000000,157496.000000,320242.000000,650948.000000,1373768.000000,2836728.000000
75794.000000,154266.000000,331380.000000,668188.000000,1309974.000000,2846698.000000
75670.000000,151688.000000,329470.000000,649170.000000,1390062.000000,2708776.000000
82458.000000,158792.000000,328478.000000,660810.000000,1342852.000000,2776440.000000
73678.000000,154046.000000,330596.000000,677776.000000,1293864.000000,2767444.000000
79582.000000,160866.000000,324270.000000,663656.000000,1319352.000000,2769320.000000
74432.000000,155358.000000,314420.000000,647876.000000,1352948.000000,2742498.000000
76872.000000,153194.000000,316270.000000,652332.000000,1356234.000000,2708206.000000
76210.000000,159466.000000,330502.000000,675396.000000,1358316.000000,2723594.000000
76634.000000,152818.000000,305638.000000,617728.000000,1336656.000000,2800980.000000
67834.000000,165760.000000,317286.000000,652942.000000,1371024.000000,2695424.000000
77854.000000,157794.000000,310810.000000,685634.000000,1279020.000000,2775546.000000
73530.000000,168964.000000,315678.000000,643804.000000,1335106.000000,2752810.000000
81010.000000,155570.000000,329578.000000,692842.000000,1388716.000000,2811502.000000
76382.000000,153160.000000,312428.000000,656562.000000,1370880.000000,2782450.000000
78852.000000,152368.000000,317360.000000,646516.000000,1346102.000000,2761778.000000
78970.000000,151206.000000,311956.000000,675900.000000,1344552.000000,2741514.000000
75106.000000,159092.000000,322354.000000,630424.000000,1395102.000000,2831654.000000
76494.000000,147870.000000,329032.000000,681112.000000,1357590.000000,2794580.000000
76876.000000,160974.000000,321840.000000,671388.000000,1362934.000000,2706562.000000
73512.000000,150150.000000,315002.000000,685404.000000,1365480.000000,2686140.000000
76496.000000,164676.000000,310572.000000,637876.000000,1307832.000000,2833744.000000
73910.000000,152484.000000,348458.000000,653308.000000,1360470.000000,2784010.000000
80788.000000,158952.000000,328960.000000,646730.000000,1359924.000000,2762652.000000
74608.000000,157880.000000,318064.000000,698342.000000,1361826.000000,2848414.000000
80768.000000,142578.000000,323918.000000,676624.000000,1369648.000000,2758424.000000
71682.000000,158080.000000,315922.000000,661478.000000,1347210.000000,2810874.000000
71858.000000,157474.000000,321094.000000,644732.000000,1319302.000000,2843364.000000
77472.000000,153858.000000,324344.000000,674418.000000,1381284.000000,2845696.000000
75346.000000,145586.000000,312854.000000,697152.000000,1300268.000000,2922772.000000
81050.000000,152734.000000,324252.000000,676072.000000,1376744.000000,2657024.000000
74370.000000,156774.000000,335090.000000,662930.000000,1339978.000000,2851502.000000
75548.000000,153884.000000,315958.000000,654602.000000,1363866.000000,2809124.000000
74938.000000,155646.000000,312124.000000,655324.000000,1363730.000000,2644038.000000
74146.000000,149470.000000,340418.000000,710542.000000,1348574.000000,2732702.000000
74076.000000,154410.000000,303656.000000,652622.000000,1411600.000000,2815602.000000
77356.000000,145282.000000,330742.000000,679358.000000,1441268.000000,2793962.000000
73762.000000,153450.000000,320492.000000,658256.000000,1374804.000000,2800558.000000
77248.000000,163424.000000,319710.000000,667524.000000,1311514.000000,2709470.000000
73334.000000,158724.000000,331572.000000,671862.000000,1420336.000000,2765658.000000
75902.000000,168800.000000,315986.000000,645346.000000,1353180.000000,2744028.000000
78908.000000,153950.000000,314710.000000,665070.000000,1369238.000000,2804736.000000
74736.000000,156678.000000,333714.000000,676804.000000,1369648.000000,2868556.000000
75952.000000,152280.000000,317116.000000,630606.000000,1289628.000000,2852770.000000
78030.000000,155298.000000,320136.000000,668800.000000,1343748.000000,2852984.000000
77236.000000,146490.000000,330434.000000,642564.000000,1411676.000000,2775748.000000
71306.000000,162122.000000,311370.000000,662406.000000,1256356.000000,2755112.000000
80116.000000,154902.000000,325958.000000,698780.000000,1350720.000000,2778186.000000
78786.000000,152132.000000,298366.000000,655490.000000,1357672.000000,2835060.000000
75272.000000,152514.000000,316000.000000,670418.000000,1366084.000000,2874394.000000
72472.000000,158194.000000,337334.000000,616950.000000,1289804.000000,2815894.000000
79482.000000,143686.000000,334268.000000,657060.000000,1373756.000000,2731616.000000
69950.000000,152018.000000,322142.000000,652472.000000,1371374.000000,2739184.000000
74414.000000,153028.000000,329146.000000,648362.000000,1385666.000000,2747452.000000
78744.000000,155276.000000,332548.000000,680048.000000,1310534.000000,2919216.000000
74116.000000,169190.000000,314668.000000,637418.000000,1381794.000000,2564494.000000
72522.000000,147562.000000,320646.000000,683028.000000,1418406.000000,2657148.000000
78512.000000,160196.000000,330902.000000,668226.000000,1342662.000000,2721632.000000
76950.000000,156656.000000,323824.000000,666912.000000,1395940.000000,2875136.000000
82048.000000,156824.000000,330424.000000,635996.000000,1307114.000000,2727352.000000
74008.000000,158588.000000,326034.000000,629034.000000,1345628.000000,2740550.000000
71698.000000,153708.000000,328060.000000,632358.000000,1351990.000000,2707044.000000
70742.000000,156664.000000,324820.000000,650358.000000,1309470.000000,2697410.000000
79732.000000,149166.000000,323204.000000,669198.000000,1366130.000000,2835036.000000
78104.000000,153728.000000,302630.000000,664144.000000,1281442.000000,2777438.000000
75202.000000,148166.000000,320586.000000,693892.000000,1348424.000000,2715862.000000
73328.000000,159370.000000,335862.000000,649932.000000,1300064.000000,2860500.000000
71628.000000,158714.000000,330618.000000,673056.000000,1367468.000000,2751116.000000
77720.000000,153402.000000,328168.000000,665390.000000,1266036.000000,2877126.000000
74610.000000,159964.000000,318542.000000,679028.000000,1282206.000000,2902154.000000
73396.000000,157630.000000,326816.000000,662792.000000,1395264.000000,2795744.000000
74248.000000,155836.000000,316452.000000,680144.000000,1314456.000000,2894396.000000
71214.000000,162076.000000,315176.000000,684064.000000,1349926.000000,2625376.000000
80466.000000,160852.000000,339104.000000,621728.000000,1400536.000000,2755288.000000
75034.000000,167316.000000,316150.000000,672172.000000,1401454.000000,2712830.000000
76266.000000,160260.000000,307626.000000,678868.000000,1370278.000000,2823252.000000
71110.000000,154616.000000,328870.000000,648818.000000,1359918.000000,2775914.000000
75982.000000,151058.000000,314618.000000,664258.000000,1354808.000000,2814118.000000
75516.000000,154934.000000,331410.000000,613366.000000,1318980.000000,2724878.000000
72778.000000,166410.000000,320572.000000,649494.000000,1297264.000000,2698298.000000
74134.000000,162376.000000,310220.000000,669038.000000,1407818.000000,2809920.000000
76468.000000,163816.000000,304738.000000,641178.000000,1351458.000000,2817900.000000
75092.000000,152180.000000,314048.000000,623450.000000,1366690.000000,2735198.000000
75556.000000,151774.000000,312612.000000,682440.000000,1385848.000000,2870750.000000
71858.000000,149212.000000,329154.000000,631452.000000,1311700.000000,2760532.000000
67984.000000,151100.000000,311174.000000,668362.000000,1396612.000000,2693476.000000
73684.000000,160300.000000,327096.000000,694794.000000,1355104.000000,2828196.000000
72374.000000,153304.000000,334654.000000,640836.000000,1427978.000000,2897566.000000
75044.000000,155858.000000,311990.000000,672674.000000,1334764.000000,2749900.000000
76840.000000,152544.000000,336396.000000,648990.000000,1380184.000000,2676768.000000
77324.000000,164532.000000,327634.000000,653938.000000,1315756.000000,2755206.000000
76426.000000,153696.000000,327220.000000,657172.000000,1372716.000000,2765336.000000
70332.000000,154952.000000,316554.000000,645526.000000,1299572.000000,2820542.000000
72222.000000,150744.000000,334822.000000,644440.000000,1268800.000000,2730824.000000
72638.000000,147540.000000,327728.000000,638546.000000,1365468.000000,2772054.000000
76932.000000,160744.000000,331182.000000,652350.000000,1410588.000000,2713654.000000
75556.000000,155818.000000,300950.000000,662432.000000,1376112.000000,2886288.000000
72442.000000,154856.000000,320624.000000,655194.000000,1336326.000000,2772984.000000
79256.000000,158810.000000,311808.000000,655726.000000,1362496.000000,2772292.000000
78184.000000,154974.000000,317814.000000,653450.000000,1360292.000000,2711270.000000
72902.000000,164050.000000,323942.000000,686550.000000,1366280.000000,2782278.000000
68916.000000,149656.000000,318970.000000,666594.000000,1396434.000000,2867848.000000
79616.000000,152682.000000,342378.000000,660394.000000,1382696.000000,2760824.000000
74260.000000,156540.000000,346654.000000,668926.000000,1339424.000000,2742556.000000
76856.000000,156820.000000,318394.000000,688048.000000,1382090.000000,2738748.000000
78324.000000,144942.000000,305680.000000,654410.000000,1387990.000000,2828096.000000
80910.000000,149382.000000,315422.000000,650254.000000,1421156.000000,2787212.000000
70424.000000,158654.000000,328428.000000,663456.000000,1350258.000000,2764444.000000
75074.000000,149342.000000,341456.000000,688864.000000,1340000.000000,2878554.000000
74814.000000,149220.000000,316150.000000,674024.000000,1306810.000000,2731856.000000
69692.000000,157448.000000,292036.000000,663156.000000,1376230.000000,2823192.000000
74778.000000,160136.000000,343876.000000,691346.000000,1359168.000000,2807196.000000
74508.000000,151212.000000,319542.000000,643544.000000,1346372.000000,2787214.000000
74710.000000,151312.000000,312670.000000,682100.000000,1344302.000000,2718698.000000
74246.000000,160508.000000,339244.000000,673376.000000,1308058.000000,2732020.000000
75222.000000,147130.000000,303184.000000,673500.000000,1370418.000000,2825506.000000
79880.000000,147484.000000,323888.000000,652628.000000,1386882.000000,2731212.000000
74580.000000,155556.000000,326348.000000,654608.000000,1374950.000000,2771462.000000
73036.000000,161880.000000,328862.000000,659028.000000,1330514.000000,2697934.000000
73988.000000,156840.000000,316488.000000,654164.000000,1360026.000000,2807316.000000
78028.000000,162374.000000,302514.000000,681718.000000,1427344.000000,2936584.000000
76352.000000,159936.000000,333786.000000,685046.000000,1393786.000000,2757670.000000
80432.000000,156522.000000,328226.000000,645136.000000,1326744.000000,2678884.000000
77468.000000,156188.000000,292498.000000,638144.000000,1342688.000000,2746274.000000
76938.000000,148368.000000,350066.000000,648470.000000,1397928.000000,2670636.000000
71234.000000,161138.000000,338898.000000,647220.000000,1361914.000000,2801396.000000
68330.000000,163512.000000,319926.000000,658998.000000,1332136.000000,2797392.000000
77926.000000,146558.000000,302792.000000,631440.000000,1406648.000000,2774446.000000
82032.000000,148238.000000,331332.000000,654372.000000,1308680.000000,2764434.000000
73770.000000,153836.000000,330038.000000,664246.000000,1381234.000000,2822104.000000
76050.000000,161732.000000,318288.000000,676668.000000,1307358.000000,2924126.000000
79124.000000,149782.000000,329446.000000,634834.000000,1383158.000000,2705550.000000
74138.000000,164022.000000,318184.000000,664548.000000,1357538.000000,2752058.000000
74768.000000,145158.000000,311694.000000,660124.000000,1400856.000000,2699856.000000
79508.000000,146948.000000,319820.000000,658158.000000,1341174.000000,2746570.000000
78638.000000,153796.000000,308294.000000,645162.000000,1380898.000000,2693152.000000
78134.000000,169114.000000,328022.000000,648642.000000,1322238.000000,2761570.000000
74534.000000,153922.000000,338294.000000,631890.000000,1416370.000000,2770780.000000
78984.000000,153858.000000,320032.000000,651148.000000,1337608.000000,2678630.000000
74350.000000,147844.000000,321936.000000,660204.000000,1367398.000000,2816064.000000
72482.000000,145746.000000,344458.000000,670590.000000,1362762.000000,2675668.000000
73430.000000,158150.000000,320502.000000,671866.000000,1318944.000000,2817364.000000
73676.000000,161472.000000,315934.000000,641922.000000,1286016.000000,2756360.000000
76388.000000,152248.000000,324020.000000,665072.000000,1311306.000000,2805612.000000
68892.000000,149078.000000,329166.000000,651868.000000,1365708.000000,2699518.000000
77458.000000,158872.000000,339384.000000,703080.000000,1331126.000000,2702114.000000
78526.000000,145450.000000,306970.000000,626928.000000,1416592.000000,2758680.000000
