N18,N19,N20,N21,N22,N23
5638.000000,11986.000000,26290.000000,49672.000000,95874.000000,160380.000000
5892.000000,10926.000000,17562.000000,47514.000000,84758.000000,201066.000000
5946.000000,12226.000000,24848.000000,42804.000000,87132.000000,187386.000000
5504.000000,11640.000000,27084.000000,43776.000000,83288.000000,173792.000000
6306.000000,12166.000000,27652.000000,53290.000000,89276.000000,202470.000000
5612.000000,12768.000000,21240.000000,49428.000000,89796.000000,210502.000000
5082.000000,10386.000000,23404.000000,50594.000000,76424.000000,215894.000000
6316.000000,11652.000000,22694.000000,45438.000000,92482.000000,201034.000000
6436.000000,11744.000000,21746.000000,47418.000000,101524.000000,192256.000000
5324.000000,12956.000000,25470.000000,49360.000000,84814.000000,154278.000000
6720.000000,13457.000000,21568.000000,53934.000000,86686.000000,207244.000000
5710.000000,11166.000000,21944.000000,52214.000000,98358.000000,189694.000000
6092.000000,13674.000000,19078.000000,47662.000000,93974.000000,186814.000000
6832.000000,12464.000000,22904.000000,42174.000000,89742.000000,192678.000000
7178.000000,11784.000000,21266.000000,53536.000000,102482.000000,174750.000000
5900.000000,12672.000000,22444.000000,46744.000000,89352.000000,212984.000000
6454.000000,10856.000000,19670.000000,50668.000000,89060.000000,188640.000000
5830.000000,11872.000000,22980.000000,47164.000000,107266.000000,168836.000000
5576.000000,9630.000000,23134.000000,47782.000000,95422.000000,176164.000000
6404.000000,11554.000000,21922.000000,57520.000000,96636.000000,159688.000000
6008.000000,11274.000000,22488.000000,55130.000000,89528.000000,187542.000000
5504.000000,13294.000000,22242.000000,43364.000000,96606.000000,176156.000000
4830.000000,10852.000000,25014.000000,45562.000000,103730.000000,176000.000000
5820.000000,10608.000000,25326.000000,49552.000000,106846.000000,192616.000000
5952.000000,12084.000000,23916.000000,40746.000000,101130.000000,179614.000000
4558.000000,10674.000000,24724.000000,42140.000000,94594.000000,184884.000000
7770.000000,12122.000000,21118.000000,49755.000000,97338.000000,173692.000000
4966.000000,12808.000000,21286.000000,53774.000000,78110.000000,167394.000000
6288.000000,12433.000000,21058.000000,46772.000000,104064.000000,186816.000000
6229.000000,12338.000000,26374.000000,47646.000000,81272.000000,216298.000000
4484.000000,13268.000000,25954.000000,40856.000000,93124.000000,192910.000000
5882.000000,10838.000000,23668.000000,44050.000000,84662.000000,180996.000000
5944.000000,12816.000000,26330.000000,50982.000000,97690.000000,184672.000000
6126.000000,14546.000000,27156.000000,46164.000000,99714.000000,207036.000000
5452.000000,10761.000000,27676.000000,39644.000000,93938.000000,201592.000000
6460.000000,12260.000000,23060.000000,43196.000000,106142.000000,198006.000000
6596.000000,12152.000000,23322.000000,49190.000000,80330.000000,206594.000000
6002.000000,13396.000000,19902.000000,49296.000000,101686.000000,195558.000000
5804.000000,14738.000000,21918.000000,47314.000000,97482.000000,185312.000000
6218.000000,11136.000000,21600.000000,44400.000000,105960.000000,187432.000000
6512.000000,11346.000000,22952.000000,39010.000000,111126.000000,210070.000000
5736.000000,10954.000000,21671.000000,42058.000000,87896.000000,190204.000000
7032.000000,10666.000000,18764.000000,46968.000000,102212.000000,205126.000000
4954.000000,11782.000000,26274.000000,51778.000000,98814.000000,165088.000000
5726.000000,11558.000000,23980.000000,47106.000000,90256.000000,164790.000000
5200.000000,11370.000000,19696.000000,55032.000000,93408.000000,182102.000000
6900.000000,11368.000000,25096.000000,57030.000000,100342.000000,197882.000000
5588.000000,10214.000000,23666.000000,50994.000000,107064.000000,185668.000000
6590.000000,14956.000000,23600.000000,49442.000000,97124.000000,183176.000000
6822.000000,11698.000000,23068.000000,45838.000000,84028.000000,184244.000000
6796.000000,8010.000000,22778.000000,49302.000000,88862.000000,187526.000000
5868.000000,11050.000000,23238.000000,43862.000000,94428.000000,179352.000000
6442.000000,11794.000000,26120.000000,49872.000000,102398.000000,219524.000000
5290.000000,10640.000000,23642.000000,50498.000000,95628.000000,171938.000000
6568.000000,9560.000000,22004.000000,48952.000000,104100.000000,208832.000000
4876.000000,11244.000000,21802.000000,46950.000000,100946.000000,176368.000000
6164.000000,11840.000000,21140.000000,47930.000000,88000.000000,165106.000000
5656.000000,12186.000000,22986.000000,43310.000000,98530.000000,202738.000000
6094.000000,12792.000000,22866.000000,47062.000000,88816.000000,190390.000000
6688.000000,13166.000000,24384.000000,38252.000000,85174.000000,180094.000000
5742.000000,13196.000000,26522.000000,53086.000000,91840.000000,194166.000000
5396.000000,12262.000000,25978.000000,40522.000000,85526.000000,175706.000000
6062.000000,11146.000000,23084.000000,53868.000000,93292.000000,220458.000000
6026.000000,10432.000000,22294.000000,50366.000000,113666.000000,212644.000000
6672.000000,11426.000000,22976.000000,54614.000000,91058.000000,198544.000000
6892.000000,10062.000000,24790.000000,46500.000000,95360.000000,218032.000000
6080.000000,10598.000000,25918.000000,53694.000000,88127.000000,199722.000000
6996.000000,11456.000000,23326.000000,47580.000000,85482.000000,191482.000000
5816.000000,12008.000000,22698.000000,35892.000000,89534.000000,192888.000000
5792.000000,14636.000000,25436.000000,54298.000000,100916.000000,188750.000000
5356.000000,12994.000000,23334.000000,46202.000000,94176.000000,203244.000000
6094.000000,10568.000000,23608.000000,45710.000000,104178.000000,172130.000000
6916.000000,11768.000000,22906.000000,47756.000000,97656.000000,181584.000000
6231.000000,12980.000000,24760.000000,48366.000000,91088.000000,191904.000000
6270.000000,11762.000000,26228.000000,48434.000000,103566.000000,175220.000000
6332.000000,13642.000000,25288.000000,47257.000000,104662.000000,207856.000000
7190.000000,12176.000000,24836.000000,48322.000000,91110.000000,171006.000000
4790.000000,9928.000000,21284.000000,53234.000000,98270.000000,196398.000000
6078.000000,12112.000000,28850.000000,46748.000000,99058.000000,160372.000000
6068.000000,12244.000000,27018.000000,47260.000000,101094.000000,200930.000000
6970.000000,14960.000000,25522.000000,48464.000000,103552.000000,194240.000000
7238.000000,10854.000000,26558.000000,50578.000000,97100.000000,195462.000000
5422.000000,9860.000000,24064.000000,46088.000000,85808.000000,139172.000000
5968.000000,10536.000000,19272.000000,45244.000000,78986.000000,200236.000000
5020.000000,12300.000000,23578.000000,46596.000000,104812.000000,177910.000000
6622.000000,12672.000000,26758.000000,41900.000000,99774.000000,221930.000000
6174.000000,11452.000000,27990.000000,46668.000000,93184.000000,160452.000000
6928.000000,13000.000000,21872.000000,43908.000000,102206.000000,214016.000000
5456.000000,13562.000000,22878.000000,44928.000000,85678.000000,191442.000000
6678.000000,9402.000000,24236.000000,43658.000000,83108.000000,203262.000000
5998.000000,11756.000000,26668.000000,54368.000000,91840.000000,174552.000000
6570.000000,9640.000000,24204.000000,46634.000000,99762.000000,188284.000000
