N18,N19,N20,N21,N22,N23
0.000000,0.000000,6.000000,10.000000,156.000000,366.000000
0.000000,2.000000,90.000000,90.000000,292.000000,1464.000000
10.000000,4.000000,26.000000,0.000000,2.000000,98.000000
30.000000,26.000000,86.000000,18.000000,206.000000,22.000000
0.000000,18.000000,6.000000,12.000000,310.000000,164.000000
0.000000,6.000000,0.000000,34.000000,90.000000,230.000000
0.000000,4.000000,0.000000,262.000000,126.000000,70.000000
14.000000,6.000000,16.000000,4.000000,178.000000,80.000000
28.000000,6.000000,2.000000,2.000000,248.000000,260.000000
4.000000,12.000000,30.000000,158.000000,230.000000,140.000000
2.000000,8.000000,42.000000,32.000000,272.000000,28.000000
2.000000,0.000000,2.000000,22.000000,174.000000,32.000000
0.000000,4.000000,2.000000,8.000000,22.000000,592.000000
2.000000,38.000000,26.000000,42.000000,14.000000,486.000000
4.000000,14.000000,0.000000,20.000000,160.000000,570.000000
0.000000,0.000000,4.000000,22.000000,54.000000,8.000000
20.000000,0.000000,0.000000,18.000000,6.000000,232.000000
0.000000,30.000000,10.000000,6.000000,68.000000,190.000000
0.000000,40.000000,62.000000,24.000000,96.000000,32.000000
6.000000,8.000000,0.000000,160.000000,188.000000,64.000000
0.000000,0.000000,2.000000,6.000000,264.000000,24.000000
0.000000,56.000000,0.000000,24.000000,58.000000,92.000000
2.000000,2.000000,124.000000,2.000000,92.000000,198.000000
0.000000,0.000000,36.000000,6.000000,48.000000,616.000000
2.000000,0.000000,24.000000,14.000000,248.000000,90.000000
76.000000,18.000000,34.000000,116.000000,128.000000,62.000000
2.000000,0.000000,4.000000,0.000000,872.000000,104.000000
0.000000,0.000000,50.000000,46.000000,198.000000,10.000000
14.000000,14.000000,6.000000,12.000000,22.000000,30.000000
2.000000,22.000000,6.000000,232.000000,480.000000,26.000000
0.000000,28.000000,126.000000,158.000000,36.000000,324.000000
0.000000,48.000000,36.000000,58.000000,26.000000,82.000000
30.000000,2.000000,0.000000,80.000000,212.000000,12.000000
0.000000,0.000000,0.000000,4.000000,26.000000,106.000000
18.000000,10.000000,0.000000,16.000000,488.000000,128.000000
8.000000,4.000000,8.000000,46.000000,62.000000,244.000000
2.000000,0.000000,34.000000,12.000000,28.000000,552.000000
4.000000,4.000000,70.000000,20.000000,48.000000,60.000000
2.000000,16.000000,28.000000,16.000000,6.000000,108.000000
0.000000,12.000000,4.000000,52.000000,10.000000,48.000000
2.000000,18.000000,4.000000,84.000000,52.000000,40.000000
4.000000,0.000000,110.000000,56.000000,2.000000,822.000000
0.000000,86.000000,62.000000,0.000000,18.000000,90.000000
4.000000,30.000000,30.000000,12.000000,96.000000,26.000000
8.000000,46.000000,110.000000,50.000000,52.000000,136.000000
4.000000,22.000000,0.000000,0.000000,110.000000,6.000000
14.000000,14.000000,8.000000,14.000000,10.000000,40.000000
2.000000,12.000000,10.000000,14.000000,264.000000,126.000000
18.000000,4.000000,2.000000,190.000000,22.000000,322.000000
0.000000,0.000000,0.000000,4.000000,12.000000,376.000000
0.000000,12.000000,58.000000,4.000000,104.000000,72.000000
2.000000,0.000000,4.000000,56.000000,174.000000,22.000000
0.000000,12.000000,16.000000,0.000000,176.000000,226.000000
0.000000,66.000000,72.000000,110.000000,216.000000,24.000000
10.000000,0.000000,10.000000,56.000000,40.000000,96.000000
0.000000,46.000000,20.000000,22.000000,110.000000,122.000000
4.000000,0.000000,10.000000,4.000000,38.000000,456.000000
0.000000,0.000000,6.000000,44.000000,4.000000,124.000000
10.000000,0.000000,14.000000,136.000000,84.000000,182.000000
6.000000,0.000000,14.000000,258.000000,62.000000,416.000000
2.000000,130.000000,0.000000,16.000000,28.000000,124.000000
0.000000,6.000000,24.000000,176.000000,38.000000,14.000000
0.000000,6.000000,34.000000,10.000000,24.000000,224.000000
0.000000,8.000000,0.000000,6.000000,350.000000,638.000000
0.000000,0.000000,0.000000,26.000000,194.000000,70.000000
0.000000,2.000000,8.000000,10.000000,912.000000,96.000000
0.000000,2.000000,2.000000,0.000000,126.000000,40.000000
0.000000,38.000000,4.000000,26.000000,6.000000,220.000000
0.000000,0.000000,78.000000,70.000000,106.000000,196.000000
0.000000,0.000000,10.000000,2.000000,18.000000,132.000000
46.000000,2.000000,10.000000,116.000000,82.000000,72.000000
18.000000,2.000000,16.000000,28.000000,16.000000,290.000000
