N18
78878.000000
84874.000000
86714.000000
83650.000000
84034.000000
81804.000000
85884.000000
80964.000000
83000.000000
84924.000000
80116.000000
80710.000000
85302.000000
84788.000000
81108.000000
81562.000000
82258.000000
81858.000000
80820.000000
82540.000000
84080.000000
80002.000000
81272.000000
84164.000000
81550.000000
87338.000000
83932.000000
82286.000000
82886.000000
83276.000000
84222.000000
81514.000000
81336.000000
79076.000000
84012.000000
81202.000000
77082.000000
82004.000000
83800.000000
81682.000000
83760.000000
80906.000000
81278.000000
85734.000000
80760.000000
84038.000000
81584.000000
80662.000000
82232.000000
79306.000000
79574.000000
76454.000000
84142.000000
79988.000000
77418.000000
73916.000000
82754.000000
81790.000000
81920.000000
76248.000000
84970.000000
81880.000000
81094.000000
86018.000000
86426.000000
80678.000000
78794.000000
83426.000000
84018.000000
84706.000000
78194.000000
83532.000000
76998.000000
80556.000000
81798.000000
81526.000000
84718.000000
82442.000000
84108.000000
82936.000000
82836.000000
77220.000000
84756.000000
80034.000000
79322.000000
84134.000000
78356.000000
85150.000000
79540.000000
85982.000000
81714.000000
80462.000000
79874.000000
86276.000000
79922.000000
84882.000000
81928.000000
83020.000000
80624.000000
84886.000000
83088.000000
80680.000000
83628.000000
79382.000000
77182.000000
85102.000000
82626.000000
81772.000000
82852.000000
82132.000000
80122.000000
82878.000000
85124.000000
83796.000000
86232.000000
82036.000000
80182.000000
80516.000000
83520.000000
82578.000000
77484.000000
86214.000000
89630.000000
81122.000000
81892.000000
82890.000000
78968.000000
87224.000000
77266.000000
79856.000000
82188.000000
81510.000000
84212.000000
80290.000000
79658.000000
78290.000000
82434.000000
81244.000000
80534.000000
75882.000000
82474.000000
85458.000000
84394.000000
77536.000000
82502.000000
80180.000000
85850.000000
79062.000000
85368.000000
83450.000000
81180.000000
77778.000000
78794.000000
84990.000000
79400.000000
83312.000000
84812.000000
83828.000000
83304.000000
81202.000000
84716.000000
82368.000000
85210.000000
79604.000000
84702.000000
81414.000000
83886.000000
77932.000000
80314.000000
82696.000000
83196.000000
82366.000000
81360.000000
80408.000000
84068.000000
79046.000000
83886.000000
77282.000000
87950.000000
80330.000000
83806.000000
84642.000000
82356.000000
83446.000000
83032.000000
79948.000000
82526.000000
80030.000000
80778.000000
82150.000000
84310.000000
80226.000000
89264.000000
82540.000000
85178.000000
79982.000000
82198.000000
85308.000000
82786.000000
82568.000000
