121532,246094,493516,987586,1987204,3966608,8110404,16085168
121382,248432,487390,988892,1944182,3995796,8140714,16024432
122202,244826,497370,984654,1998368,4006286,8056944,16220414
122380,247520,501808,1012570,1935348,3959452,7923904,15879914
122818,241732,493764,994554,2018122,4055954,7994294,15633884
120596,249302,498896,990234,1986216,3920402,8076420,15810322
122678,249478,498126,989910,2013850,3968004,8038940,16014956
124586,243256,487216,989200,1989824,4027858,7961628,15957096
123774,243924,498028,974572,1960378,3957050,8063774,16014670
126384,245760,490828,986092,1983390,4019452,7986244,15984116
120100,251424,500944,980264,1975690,3998874,8027284,15821676
120934,245646,506946,979318,1994976,3995302,8031788,15918048
124680,245570,489158,983948,1984896,4010018,8019274,15946294
120698,241900,493360,984672,1993050,3982130,8025562,15979398
123038,247638,494990,984842,1974654,4021852,8101322,16009826
122324,242066,492110,984128,1998216,4023882,8166146,15914208
127000,244104,495256,967442,2005296,3905874,7995560,15872014
119970,253606,499456,982672,2045592,4040170,7992288,15795482
123020,245592,492280,1002274,2010988,3917026,8030260,16100584
122704,247164,494048,984688,2023256,3966840,7934568,16043724
121924,246660,495626,1007364,2014466,4016096,7887398,16162732
121276,247392,493456,963476,1994676,3970068,7844712,15683626
122878,244288,493444,972530,2031648,4004386,8070516,15941568
128250,243256,490334,984788,1975190,4010472,7977068,15946016
123134,249674,492782,980084,1959940,4002840,8023586,15941176
125948,244430,500404,1010844,2001716,3902614,8002626,16157072
122702,237960,491022,993876,1999122,3997036,7966112,16034552
121186,244612,488674,997548,1973738,3964408,7968830,16020904
122636,245780,500760,985682,1964200,3953762,7988258,16184304
122940,245980,485462,985774,1962402,3960044,8052152,15846468
122584,242330,487734,987452,2004622,3985050,8003270,15791552
122630,242800,490790,986768,1993900,4048354,7961228,16056344
121172,251228,485932,987810,1978256,4010716,8017456,16021966
123834,246140,483294,993228,1997762,3958238,8007954,16038644
123634,241536,490584,986374,1978910,4016634,7933370,16081276
123934,250710,492962,997748,1959520,3954752,8022802,16048638
120828,249306,498108,985516,1949956,3977558,7910294,15863526
124178,243472,489248,997920,1960886,4035068,7982766,16357416
122514,245354,492046,979538,1967474,3975778,7963546,16106116
122992,244294,482876,974688,2005962,3970722,8109740,15994636
121864,248196,490526,1006770,1982568,3985336,8041816,16100790
