N18,N19,N20,N21,N22,N23
372.000000,360.000000,700.000000,2562.000000,3318.000000,8038.000000
166.000000,506.000000,586.000000,2514.000000,6410.000000,8810.000000
222.000000,710.000000,1346.000000,3122.000000,5732.000000,5496.000000
166.000000,1104.000000,750.000000,3160.000000,2420.000000,12102.000000
480.000000,614.000000,2148.000000,3272.000000,4304.000000,8066.000000
442.000000,436.000000,1368.000000,2156.000000,6564.000000,6164.000000
446.000000,856.000000,856.000000,2256.000000,5034.000000,6508.000000
378.000000,1350.000000,812.000000,1906.000000,6898.000000,14328.000000
670.000000,866.000000,810.000000,2048.000000,4550.000000,11676.000000
254.000000,674.000000,1142.000000,3048.000000,7408.000000,7646.000000
24.000000,488.000000,1024.000000,2932.000000,3712.000000,8688.000000
320.000000,496.000000,1052.000000,3790.000000,7016.000000,12928.000000
330.000000,890.000000,924.000000,2868.000000,4188.000000,12636.000000
420.000000,290.000000,934.000000,3256.000000,5152.000000,10120.000000
342.000000,1170.000000,1698.000000,3918.000000,2904.000000,9210.000000
304.000000,928.000000,1274.000000,4250.000000,3134.000000,8828.000000
530.000000,596.000000,2188.000000,4120.000000,4740.000000,10990.000000
120.000000,324.000000,870.000000,2650.000000,3794.000000,14562.000000
182.000000,1192.000000,1552.000000,660.000000,5178.000000,14532.000000
442.000000,848.000000,1184.000000,1330.000000,3276.000000,8344.000000
328.000000,384.000000,854.000000,2682.000000,7442.000000,11940.000000
436.000000,464.000000,1688.000000,1640.000000,7104.000000,12948.000000
404.000000,372.000000,1006.000000,1832.000000,5012.000000,8480.000000
872.000000,164.000000,2524.000000,2928.000000,4436.000000,10780.000000
244.000000,262.000000,976.000000,2874.000000,4374.000000,14302.000000
612.000000,268.000000,1136.000000,2908.000000,6090.000000,10200.000000
188.000000,386.000000,1316.000000,2344.000000,4824.000000,6266.000000
156.000000,700.000000,1560.000000,1818.000000,3306.000000,8132.000000
378.000000,550.000000,982.000000,4508.000000,4350.000000,13772.000000
334.000000,190.000000,1310.000000,1818.000000,2732.000000,4432.000000
488.000000,314.000000,1384.000000,1124.000000,3252.000000,10982.000000
136.000000,458.000000,1448.000000,1544.000000,5600.000000,9622.000000
78.000000,1086.000000,1192.000000,3320.000000,2250.000000,10864.000000
566.000000,640.000000,2008.000000,2626.000000,4746.000000,7878.000000
212.000000,384.000000,1098.000000,850.000000,7412.000000,11260.000000
302.000000,534.000000,968.000000,3866.000000,4602.000000,10934.000000
374.000000,516.000000,956.000000,2758.000000,6428.000000,6732.000000
206.000000,1024.000000,1296.000000,2792.000000,5842.000000,16078.000000
212.000000,1608.000000,816.000000,1756.000000,6404.000000,13240.000000
702.000000,682.000000,990.000000,1144.000000,5712.000000,6364.000000
230.000000,798.000000,1348.000000,4076.000000,4242.000000,8968.000000
256.000000,456.000000,1488.000000,2618.000000,5468.000000,21536.000000
208.000000,756.000000,500.000000,2088.000000,4180.000000,5304.000000
544.000000,904.000000,1570.000000,2454.000000,4700.000000,12036.000000
434.000000,198.000000,616.000000,1582.000000,4888.000000,11912.000000
718.000000,208.000000,1460.000000,1960.000000,3772.000000,8022.000000
406.000000,736.000000,1042.000000,2650.000000,5394.000000,14454.000000
222.000000,902.000000,1172.000000,3048.000000,5046.000000,8910.000000
220.000000,526.000000,1786.000000,4522.000000,4310.000000,14574.000000
450.000000,244.000000,798.000000,3344.000000,6814.000000,16538.000000
274.000000,578.000000,1344.000000,2308.000000,3450.000000,16036.000000
256.000000,818.000000,1036.000000,2292.000000,5306.000000,11520.000000
310.000000,562.000000,1024.000000,3198.000000,2448.000000,11644.000000
230.000000,570.000000,1628.000000,2762.000000,3682.000000,18222.000000
450.000000,262.000000,1650.000000,2070.000000,5568.000000,12820.000000
546.000000,806.000000,664.000000,1956.000000,3988.000000,8576.000000
866.000000,1180.000000,1736.000000,3074.000000,7088.000000,5798.000000
218.000000,704.000000,1274.000000,2594.000000,5138.000000,10246.000000
258.000000,416.000000,1440.000000,4950.000000,5198.000000,12600.000000
330.000000,448.000000,1958.000000,2536.000000,4730.000000,11268.000000
