L,mean,var
-14,14.7,68.39
-14.1,14.33,53.0311
-14.2,12.37,42.6431
-14.3,11.81,38.1039
-14.4,11.28,33.6016
-14.5,9.21,31.7559
-14.6,7.71,30.8559
-14.7,7.3,20.99
-14.8,6.9,20.23
-14.9,6.47,21.7591
-15,5.44,16.8464
-15.1,5.34,15.0844
-15.2,4.9,18.23
-15.3,4.47,12.6791
-15.4,3.51,8.4599
-15.5,3.37,8.9431
-15.6,3.39,8.8479
-15.7,2.96,8.5984
-15.8,2.51,7.7199
-15.9,2.7,8.11
-16,1.88,3.8656
-16.1,1.76,4.4224
-16.2,2.01,6.7399
-16.3,1.49,3.6799
-16.4,1.19,2.7639
-16.5,1.26,2.4924
-16.6,0.97,2.7991
-16.7,0.79,1.6759
-16.8,0.97,2.8391
-16.9,0.8,2.12
-17,0.73,1.8471
-17.1,0.6,1.48
-17.2,0.44,0.9264
-17.3,0.6,1.6
-17.4,0.5,1.39
-17.5,0.38,0.8156
-17.6,0.36,0.9904
-17.7,0.25,0.5575
-17.8,0.22,0.4316
-17.9,0.17,0.4711
-18,0.21,0.4159
-18.1,0.25,0.4775
-18.2,0.19,0.5439
-18.3,0.2,0.44
-18.4,0.13,0.2431
-18.5,0.08,0.1936
-18.6,0.11,0.2079
-18.7,0.14,0.3404
-18.8,0.06,0.1164
-18.9,0.1,0.19
